bodytype,brand,mileage,color,engine,complectation,tax,transmission,drive,wheel,owners,customs,pts,year,price
Кузовуниверсал 5 дв.,Audi A6 allroad I (C5),Пробег311 535 км,Цветзелёный,Двигатель2.7 л / 250 л.с. / Бензин,Комплектация30 опций,Налог18 750 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2002,370 000 ₽от 360 750 ₽ со скидками
Кузовлифтбек,Audi A7 I (4G),Пробег130 420 км,Цветчёрный,Двигатель3.0 л / 300 л.с. / Бензин,Комплектация36 опций,Налог45 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2011,1 765 000 ₽от 1 560 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q5 I (8R),Пробег208 100 км,Цветсиний,Двигатель3.2 л / 271 л.с. / Бензин,Комплектация15 опций,Налог36 585 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2008,1 000 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег115 700 км,Цветбелый,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация65 опций,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2016,3 250 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U) Рестайлинг,Пробег52 582 км,Цветсерый,Двигатель2.0 л / 180 л.с. / Бензин,КомплектацияSport,Налог5 886 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,2 649 000 ₽от 2 549 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q7 I (4L),Пробег227 453 км,Цветсерый,Двигатель4.1 л / 326 л.с. / Дизель,,Налог48 900 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2008,1 300 000 ₽Смотреть статистику цен
Кузовседан,Audi A8 Long 55 TFSI IV (D5),Пробег50 505 км,Цветчёрный,Двигатель3.0 л / 340 л.с. / Бензин,Комплектация54 опции,Налог67 456 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,6 399 000 ₽от 6 299 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег100 449 км,Цветкоричневый,Двигатель2.0 л / 170 л.с. / Бензин,Комплектация36 опций,Налог8 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 484 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег128 313 км,Цветчёрный,Двигатель2.0 л / 211 л.с. / Бензин,Комплектация36 опций,Налог13 715 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2012,1 132 000 ₽Отличная ценаот 862 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег202 977 км,Цветбежевый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация74 опции,Налог11 160 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 319 000 ₽от 1 269 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег122 000 км,Цветбелый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация11 опций,Налог10 125 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 899 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег122 000 км,Цветбелый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация11 опций,Налог10 125 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 899 000 ₽Хорошая ценаСмотреть статистику цен
Кузовкупе,Audi A5 I (8T) Рестайлинг,Пробег115 000 км,Цветкоричневый,Двигатель1.8 л / 170 л.с. / Бензин,Комплектация45 опций,Налог7 650 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 295 000 ₽Отличная ценаот 1 235 000 ₽ со скидками
Кузовседан,Audi S6 IV (C7),Пробег153 151 км,Цветчёрный,Двигатель4.0 л / 420 л.с. / Бензин,Комплектация63 опции,Налог63 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,2 855 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi SQ7 I (4M) Рестайлинг,Пробег14 256 км,Цветсерый,Двигатель4.0 л / 422 л.с. / Дизель,Комплектация12 опций,Налог63 300 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,10 200 000 ₽Смотреть статистику цен
Кузовседан,Audi S8 IV (D5),Пробег6 881 км,Цветсеребристый,Двигатель4.0 л / 571 л.с. / Бензин,Комплектация82 опции,Налог85 650 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,14 964 300 ₽от 14 884 300 ₽ со скидками
Кузовседан,Audi A6 45 TFSI V (C8),Пробег21 856 км,Цветчёрный,Двигатель2.0 л / 245 л.с. / Бензин,,Налог20 213 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,4 150 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 55 TFSI II (4K),Пробег21 793 км,Цветбелый,Двигатель3.0 л / 340 л.с. / Бензин,КомплектацияAdvance 55 TFSI quattro S tronic,Налог33 728 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,4 699 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi SQ8 I (4M),Пробег29 934 км,Цветсерый,Двигатель4.0 л / 422 л.с. / Дизель,КомплектацияTDI quattro tiptronic,Налог63 300 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,13 856 400 ₽от 13 776 400 ₽ со скидками
Кузовлифтбек,Audi A7 S-tronic I (4G),Пробег163 300 км,Цветчёрный,Двигатель3.0 л / 245 л.с. / Дизель,,Налог18 375 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 850 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 IV (B8),Пробег139 000 км,Цветсеребристый,Двигатель1.8 л / 160 л.с. / Бензин,,Налог7 200 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2011,794 990 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег38 500 км,Цветчёрный,Двигатель2.0 л / 249 л.с. / Бензин,КомплектацияBasis,Налог20 543 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,3 695 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег166 144 км,Цветсерый,Двигатель1.8 л / 190 л.с. / Бензин,Комплектация39 опций,Налог9 500 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 484 000 ₽Отличная ценаот 1 214 000 ₽ со скидками
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег72 629 км,Цветбелый,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация42 опции,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2018,2 738 300 ₽Хорошая ценаот 2 658 300 ₽ со скидками
Кузовлифтбек,Audi A5 II (F5),Пробег42 306 км,Цветсиний,Двигатель2.0 л / 249 л.с. / Бензин,,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,3 598 000 ₽Хорошая ценаСмотреть статистику цен
Кузовкупе,Audi TT III (8S),Пробег17 794 км,Цветоранжевый,Двигатель2.0 л / 230 л.с. / Бензин,Комплектация44 опции,Налог17 250 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,3 499 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег170 600 км,Цветсерый,Двигатель4.1 л / 340 л.с. / Дизель,Комплектация73 опции,Налог33 728 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,2 459 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег164 872 км,Цветсерый,Двигатель3.0 л / 245 л.с. / Дизель,Комплектация44 опции,Налог18 375 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,2 179 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег41 000 км,Цветбелый,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация24 опции,Налог20 543 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,3 634 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R),Пробег154 000 км,Цветчёрный,Двигатель2.0 л / 211 л.с. / Бензин,Комплектация27 опций,Налог13 715 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2009,999 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег178 000 км,Цветчёрный,Двигатель3.0 л / 238 л.с. / Дизель,Комплектация34 опции,Налог17 850 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2009,1 325 000 ₽от 1 265 000 ₽ со скидками
Кузовкупе,Audi A5 I (8T),Пробег182 245 км,Цветкрасный,Двигатель2.0 л / 211 л.с. / Бензин,Комплектация27 опций,Налог13 715 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2011,1 175 000 ₽от 1 033 000 ₽ со скидками
Кузовседан,Audi A6 II (C5) Рестайлинг,Пробег251 000 км,Цветсиний,Двигатель2.4 л / 170 л.с. / Бензин,Комплектация5 опций,Налог4 930 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2003,490 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 I (4G),Пробег145 832 км,Цветбелый,Двигатель2.8 л / 204 л.с. / Бензин,,Налог15 300 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2011,1 565 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A8 55 TFSI IV (D5),Пробег80 000 км,Цветчёрный,Двигатель3.0 л / 340 л.с. / Бензин,Комплектация57 опций,Налог51 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2018,5 589 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег106 000 км,Цветбелый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация33 опции,Налог16 875 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,2 550 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L),Пробег302 000 км,Цветчёрный,Двигатель3.0 л / 238 л.с. / Дизель,Комплектация28 опций,Налог10 710 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2008,1 099 000 ₽Смотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A3 II (8P) Рестайлинг 2,Пробег141 912 км,Цветчёрный,Двигатель1.2 л / 105 л.с. / Бензин,Комплектация11 опций,Налог1 407 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2012,740 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег261 680 км,Цветсерый,Двигатель3.0 л / 238 л.с. / Дизель,Комплектация63 опции,Налог17 850 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2009,1 580 000 ₽Смотреть статистику цен
Кузовседан,Audi A3 III (8V),Пробег114 000 км,Цветчёрный,Двигатель1.4 л / 122 л.с. / Бензин,Комплектация2 опции,Налог1 635 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 344 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег116 730 км,Цветбелый,Двигатель2.0 л / 170 л.с. / Бензин,Комплектация42 опции,Налог7 650 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 457 000 ₽Хорошая ценаот 1 357 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q5 8tiptronic I (8R),Пробег119 000 км,Цветбелый,Двигатель2.0 л / 211 л.с. / Бензин,,Налог15 825 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 355 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег153 534 км,Цветчёрный,Двигатель1.8 л / 190 л.с. / Бензин,Комплектация33 опции,Налог9 500 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 702 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег82 953 км,Цветсиний,Двигатель1.8 л / 170 л.с. / Бензин,Комплектация35 опций,Налог7 650 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 563 000 ₽от 1 421 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q3 I (8U) Рестайлинг,Пробег135 538 км,Цветкоричневый,Двигатель2.0 л / 180 л.с. / Бензин,КомплектацияSport,Налог9 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 835 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 45 TFSI II (FY) Рестайлинг,Пробег3 741 км,Цветбелый,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация5 опций,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,4 718 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег130 238 км,Цветбелый,Двигатель1.8 л / 190 л.с. / Бензин,Комплектация24 опции,Налог9 500 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2016,1 808 000 ₽Хорошая ценаот 1 666 000 ₽ со скидками
Кузовседан,Audi A6 IV (C7),Пробег200 000 км,Цветбелый,Двигатель2.0 л / 180 л.с. / Бензин,,Налог6 480 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 000 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A6 III (C6),Пробег187 000 км,Цветчёрный,Двигатель2.4 л / 177 л.с. / Бензин,Комплектация1 опция,Налог8 850 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2008,410 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег147 526 км,Цветкоричневый,Двигатель2.0 л / 170 л.с. / Бензин,Комплектация38 опций,Налог7 650 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 240 240 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi RS Q3 I (8U),Пробег96 254 км,Цветсиний,Двигатель2.5 л / 310 л.с. / Бензин,Комплектация26 опций,Налог46 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,2 147 000 ₽от 1 817 000 ₽ со скидками
Кузовседан,Audi A6 IV (C7),Пробег179 168 км,Цветбелый,Двигатель3.0 л / 245 л.с. / Дизель,Комплектация29 опций,Налог18 375 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 658 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег119 115 км,Цветчёрный,Двигатель2.0 л / 170 л.с. / Бензин,,Налог7 650 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 385 000 ₽Хорошая ценаСмотреть статистику цен
Кузовхэтчбек 3 дв.,Audi A3 III (8V),Пробег142 700 км,Цветкрасный,Двигатель1.8 л / 180 л.с. / Бензин,КомплектацияAmbition,Налог9 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 429 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U) Рестайлинг,Пробег39 000 км,Цветбелый,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация1 опция,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 685 000 ₽Отличная ценаот 1 543 000 ₽ со скидками
Кузовкупе,Audi TT III (8S),Пробег58 000 км,Цветголубой,Двигатель2.0 л / 230 л.с. / Бензин,,Налог17 250 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2016,3 180 000 ₽Смотреть статистику цен
Кузовуниверсал 5 дв.,Audi A6 allroad II (C6),Пробег171 447 км,Цветсерый,Двигатель4.2 л / 350 л.с. / Бензин,Комплектация31 опция,Налог34 720 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2007,799 000 ₽Отличная ценаот 751 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q3 I (8U) Рестайлинг,Пробег80 475 км,Цветкрасный,Двигатель2.0 л / 180 л.с. / Бензин,Комплектация15 опций,Налог9 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2016,1 915 000 ₽Хорошая ценаСмотреть статистику цен
Кузовлифтбек,Audi RS 7 I (4G) Рестайлинг,Пробег44 000 км,Цветсерый,Двигатель4.0 л / 605 л.с. / Бензин,КомплектацияPerformance,Налог181 500 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2017,6 578 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 I (C4),Пробег346 300 км,Цветкрасный,Двигатель2.6 л / 150 л.с. / Бензин,Комплектация12 опций,Налог4 500 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1995,265 000 ₽от 249 000 ₽ со скидками
Кузовкупе,Audi A5 I (8T) Рестайлинг,Пробег126 843 км,Цветсиний,Двигатель2.0 л / 225 л.с. / Бензин,,Налог14 625 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 765 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег122 000 км,Цветчёрный,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация30 опций,Налог14 625 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 830 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 I (B5) Рестайлинг,Пробег300 000 км,Цветчёрный,Двигатель1.6 л / 101 л.с. / Бензин,Комплектация4 опции,Налог2 020 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1999,200 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R),Пробег180 250 км,Цветсерый,Двигатель2.0 л / 211 л.с. / Бензин,Комплектация21 опция,Налог15 825 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2009,1 075 000 ₽Хорошая ценаот 995 000 ₽ со скидками
Кузовуниверсал 5 дв.,Audi RS 6 IV (C8),Пробег3 700 км,Цветчёрный,Двигатель4.0 л / 600 л.с. / Бензин,КомплектацияTFSI quattro,Налог90 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,16 890 000 ₽от 16 540 000 ₽ со скидками
Кузовхэтчбек 5 дв.,Audi A3 II (8P) Рестайлинг 2,Пробег196 508 км,Цветбелый,Двигатель1.2 л / 105 л.с. / Бензин,КомплектацияAmbiente,Налог1 470 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2012,749 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег9 331 км,Цветкрасный,Двигатель2.0 л / 249 л.с. / Бензин,КомплектацияSport 45 TFSI quattro S tronic,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,3 795 000 ₽от 3 605 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег74 205 км,Цветсерый,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация33 опции,Налог20 543 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,5 599 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A6 45 TFSI V (C8),Пробег20 000 км,Цветкоричневый,Двигатель2.0 л / 245 л.с. / Бензин,Комплектация1 опция,Налог18 375 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2019,3 699 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег90 046 км,Цветкоричневый,Двигатель1.8 л / 120 л.с. / Бензин,Комплектация30 опций,Налог2 880 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2014,1 184 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег211 172 км,Цветбелый,Двигатель3.0 л / 249 л.с. / Дизель,КомплектацияSport,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2016,2 879 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег40 587 км,Цветчёрный,Двигатель1.8 л / 190 л.с. / Бензин,Комплектация23 опции,Налог9 500 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2017,2 470 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 IV (C7),Пробег150 204 км,Цветбелый,Двигатель2.0 л / 180 л.с. / Бензин,КомплектацияБазовая,Налог9 000 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2013,1 235 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег140 000 км,Цветбелый,Двигатель2.0 л / 211 л.с. / Бензин,Комплектация3 опции,Налог15 825 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 159 900 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A6 IV (C7),Пробег159 729 км,Цветчёрный,Двигатель3.0 л / 310 л.с. / Бензин,Комплектация40 опций,Налог46 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2012,1 499 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 IV (C7),Пробег169 000 км,Цветбелый,Двигатель3.0 л / 310 л.с. / Бензин,,Налог30 752 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2012,1 500 000 ₽Смотреть статистику цен
Кузовуниверсал 5 дв.,Audi A4 allroad IV (B8) Рестайлинг,Пробег126 000 км,Цветбелый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация68 опций,Налог15 300 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 800 000 ₽Смотреть статистику цен
